Номер бюллетеня;Голос;Вес
0bbb44f7-c05a-406a-8c30-4e9354e13a17;Против;1
41b0ad8a-4aed-4ba5-8f0a-33235ad83c33;Против;1
79bbbf01-cbbe-44ef-8c04-0d2de81eea66;Против;1
8fcd339a-1076-496a-815f-c80f85046ce7;Против;1
94d1fc07-b6b2-4578-9282-9299483b4cf2;Против;1
9bc98756-f719-4b87-bbe9-e6c05cc177e3;Против;1
ac9da0fa-35d8-4cd0-bec5-4084be556c92;Против;1
e36c7743-95d1-4f1d-9068-f2444ab0dc02;Против;1
e5a817df-41fe-412c-a9e2-32eb5811b336;Против;1
f68bd954-69bb-4f70-adc5-934e01c6c37d;Против;1
fe3c00fd-c2c9-437c-a003-2e94023ab048;Против;1
06891069-7bba-4ba4-b175-2630bee22398;За;1
3cb6b353-440a-4851-958c-24a64589186c;Воздержался;1
73b3dcb0-fac1-4d24-b92c-26cad1021081;Воздержался;1
833f6b90-3cbb-49de-a7f2-40821aa9e5d6;Воздержался;1
db3fca9b-6dfd-4852-a6e2-06a8a4f9ce47;Воздержался;1
0230548d-6b52-4d69-8df2-bee8b370a5db;Не голосовал;1
068bd480-9937-4ae6-b3b3-8bb9514a8a9b;Не голосовал;1
093e227d-9384-44b0-929c-348d3be1cdb2;Не голосовал;1
0aaaad6b-e292-4c99-878b-0e4b2ff13bc9;Не голосовал;1
12fccd58-c433-40c3-9855-cc0a4c8ccbfd;Не голосовал;1
163b1e23-283c-41de-bc31-5962b1febac9;Не голосовал;1
18726cb9-5307-4ae1-8bf8-e6852d656684;Не голосовал;1
1a8edb11-606c-4a0a-af00-d6a9334d510e;Не голосовал;1
23d66183-f8cb-48b1-87fd-aa7854d1ed79;Не голосовал;1
288d93d2-56fe-4f5d-9560-0137ec5311fc;Не голосовал;1
2a0f7680-1330-4a5d-a9f7-acab203f59b4;Не голосовал;1
2a604492-d33b-40b1-bbd9-d5bb81dffb8f;Не голосовал;1
2c5eeb45-c398-41ad-9635-06e2bbf7d0a7;Не голосовал;1
38d6148c-c62a-479e-a5ac-5898c324dcaa;Не голосовал;1
3fcd4d8c-cc16-4c1c-9cd4-6c01fd53b092;Не голосовал;1
4390ca7a-4329-4d7b-be9a-6f9fd6a25bd6;Не голосовал;1
4a9a7bd3-aad2-4372-b55d-1c4be3674173;Не голосовал;1
54be7d06-3138-4b79-999d-fb75c056d7bf;Не голосовал;1
5607d30a-0700-4d9f-af1c-2bb5eb099ed5;Не голосовал;1
60f533ad-3198-4c87-9394-3ede031af216;Не голосовал;1
673cbdac-56e2-4225-aa70-ff7bbfe946c5;Не голосовал;1
6c72a1ac-b90f-4c14-92db-9ba3cdbe376b;Не голосовал;1
7a5fd56a-30b3-4d78-a473-c9e2f9724f17;Не голосовал;1
80c96ef1-8ad0-40f2-b340-30dc58a1cced;Не голосовал;1
83734315-88f8-447c-a959-b85a8e0be0d1;Не голосовал;1
8f270a1e-e87f-42fa-ac61-5a6e7f95f971;Не голосовал;1
92beef0f-245a-4e09-84a1-8151512db89a;Не голосовал;1
932f6907-d0b6-42f2-bd6d-fb3db8578238;Не голосовал;1
99446aed-5d66-4fb0-80b1-b9802fd53d95;Не голосовал;1
9cd21abd-f8e9-40be-b4fb-a50d69a3b97a;Не голосовал;1
9e3a3b2f-7fd6-4ec2-a179-7e577389c48f;Не голосовал;1
9fbb43ee-7671-4e94-93ed-de2aec270e75;Не голосовал;1
a63e9b2b-ab63-4353-939c-8c5e9b361bd8;Не голосовал;1
ba293087-47db-4843-89f7-26e1990c343a;Не голосовал;1
bbf5c791-3a60-4ec6-82df-2ae5636934f1;Не голосовал;1
c50c8ffd-9cb9-4fef-8725-d5cf02858a25;Не голосовал;1
c57f8823-0879-40c0-8a99-924986ab71fe;Не голосовал;1
c76602ec-fb48-4a08-a3f9-3811e0e983bc;Не голосовал;1
ca88582f-74be-493d-8e88-a4a373de17e4;Не голосовал;1
d5a8e25c-c256-4864-a1cc-bda27c77459f;Не голосовал;1
d82f3e01-528d-46c0-99b6-364b8f258e69;Не голосовал;1
e1fb44b0-31ac-4a27-ba31-1e4e8e1cce87;Не голосовал;1
e930cb5f-5750-421c-9183-dcbe470a5448;Не голосовал;1
e971c6cb-e28d-4330-8277-8375fd0834db;Не голосовал;1
ef321789-3790-45b5-b55c-54113f675a61;Не голосовал;1
f912efb9-dc9e-49e7-b00f-24344605e702;Не голосовал;1
fa23f749-f7d2-432a-85cb-1040996abdac;Не голосовал;1
