Номер бюллетеня;Голос;Вес
c308c3ea-5e08-4d71-b1ed-ca158308899a;Не голосовал;2
347049f7-6a54-4c62-9b6a-686c9bd50982;Против;1
3690e2b8-80bf-4e17-ad84-f302dd7d2481;Против;1
5a8d6494-3110-4e02-97f3-3861d234d885;Против;1
94f320bf-3f07-4b78-ba7f-b0d1b924132d;Против;1
a2a253c5-8546-4788-af2b-c5342aec3959;Против;1
b64941c2-ee58-4405-b9ed-c6b1a0ce5170;Против;1
bf95564b-3bc1-4f49-9d59-d5c7164a2b65;Против;1
231aaa57-7d8c-4a56-a533-b76638f8e34e;За;1
25c460a2-5d0b-4e69-b817-41d3f53b238f;За;1
2a43a94c-eed4-45a8-9d57-fa9f70bcc6b1;За;1
2f7e3dce-2199-463f-957c-c163f97373d1;За;1
3cfdd0cb-897d-41d9-8500-0f359f49017a;За;1
5b1ad76a-c7ea-48a1-b34d-d30cc421dffb;За;1
5e283146-fc4e-473b-9696-377a3fffe0a9;За;1
ea7f576a-a1cb-4f53-b0af-930de368f0b7;За;1
fea75524-6256-4e9f-a460-efda28439349;За;1
0193baf5-b6b3-4fc3-bd41-1fb4c9843267;Не голосовал;1
04fd9c32-610a-4cfe-b60c-dc098871016a;Не голосовал;1
0571158c-2257-4416-b7ec-5fee92ed659d;Не голосовал;1
08ac3447-43ea-4f24-b637-839e710eb9ad;Не голосовал;1
0d201502-8043-4e5c-ae1d-8e2063a0cebf;Не голосовал;1
11f69e2c-debc-4aa7-9a3f-9fda1179548a;Не голосовал;1
13969ddf-fd1c-44c6-9b76-9e8c37cae0b6;Не голосовал;1
15ee94c5-0115-4830-9111-8a25b2feb383;Не голосовал;1
183c35af-f46d-4297-8486-c45c7db4ff4e;Не голосовал;1
1cf3862c-46ec-4806-9900-05c2a7055217;Не голосовал;1
1f689d3c-3515-4511-8681-cb0dbc68a372;Не голосовал;1
2125a810-094d-4326-8618-46e45e89929c;Не голосовал;1
22ac66f0-7b07-473d-95dd-5f1bb59791bf;Не голосовал;1
2f3d0385-33c7-4dd1-a784-e3fa0861763b;Не голосовал;1
3681f0dd-14d0-4d51-b239-8e9e890bbc5c;Не голосовал;1
49a4e2d5-bbb7-4c81-9276-c6c004ffcb6c;Не голосовал;1
4beab918-74cb-4309-9479-da2ed8d3425f;Не голосовал;1
4e925c4b-e80d-41c8-9eca-dd02d03a7f28;Не голосовал;1
4f078996-a0dd-4787-b6a6-3fa61a014f9c;Не голосовал;1
528a037c-ed79-43c9-b89d-46a39d40da4d;Не голосовал;1
52ae27a9-0b65-4e14-a943-a7f985a12832;Не голосовал;1
55e52613-e6e0-43d7-99c9-933bac2ba9e9;Не голосовал;1
57b17764-5737-48fe-a0d2-14ca4f2c686b;Не голосовал;1
58bcce0f-bf31-49bc-92dd-870a51085a60;Не голосовал;1
66b2f963-5e8c-45fe-8b39-be24daf12676;Не голосовал;1
67da562f-e2b0-4850-b432-b604c38f0b2b;Не голосовал;1
6aa38372-7306-463b-a3a3-0bdc5f15f795;Не голосовал;1
6e1f2193-e3b6-4aad-8816-cf4ffbb1d110;Не голосовал;1
79e915f8-43ea-40a3-bb51-cc67441e5a00;Не голосовал;1
7cad4112-2809-461c-b5a3-99c8ee029f9d;Не голосовал;1
7def1649-b3e2-4327-bbbf-1bc8f0a0bbe5;Не голосовал;1
8098a451-81c9-40c5-ad90-d337c86b6657;Не голосовал;1
89ca3a50-48ec-452e-9d00-62929318dd5e;Не голосовал;1
8d5ba0bc-44b4-4bdf-9431-db86e53d4286;Не голосовал;1
940bef21-76f4-43ae-8bd8-aea15e428e66;Не голосовал;1
9dd7239a-5762-4c15-9a37-5c2fe4269e04;Не голосовал;1
a29e93db-c073-4a54-b0f4-fa8699c1cb76;Не голосовал;1
a6a4f019-8e19-44e0-9dad-70252a7e4797;Не голосовал;1
a8c510f8-388f-4210-8d65-ae02eaa77fa2;Не голосовал;1
a9793bc6-0998-405d-84ed-b5abd74daa84;Не голосовал;1
aae2f254-630b-4747-981c-9e11fabbd7f8;Не голосовал;1
bb89d48d-69a9-4d42-bc19-407f554e6e14;Не голосовал;1
bc94dc7d-6fc8-4732-a65f-079ee6f80555;Не голосовал;1
bd107b2e-25a1-4830-9d7f-2a9aaf85b985;Не голосовал;1
c0569d46-8a61-4c68-92e1-7f549d829a13;Не голосовал;1
c12d174b-9b09-48a5-8347-2ff735639ac1;Не голосовал;1
c8d3b80f-5797-4c3e-9a08-42efae82ce91;Не голосовал;1
c9ded610-b5a3-4402-b8b9-9832c699afa1;Не голосовал;1
cadceb06-e672-46d2-bff9-3f59ea8caf68;Не голосовал;1
d09a1b40-10d1-4570-b4c5-1b3aa3416316;Не голосовал;1
d0afba59-7fb5-4228-aa30-ee56faadb23d;Не голосовал;1
d33577ec-26c4-43a6-9d90-d1001b80fb5a;Не голосовал;1
d4ab8b27-a7f1-4675-926f-56090ec8625b;Не голосовал;1
d62f08f0-93c8-4707-a0ce-3bb7f8d49476;Не голосовал;1
d88b8777-e7cd-41d7-96e6-29d483b7997e;Не голосовал;1
dfe64461-ff05-4ff3-82e6-54187f7e8d76;Не голосовал;1
e2784e8b-6b48-4b8a-bb03-ebe8e125ae13;Не голосовал;1
e6750354-461e-4bfe-9b32-a9739e8ee35a;Не голосовал;1
ed63ee89-7846-450a-83e3-d4d8c3e6d572;Не голосовал;1
f5bbcfb9-87c2-4a96-bf35-81a2b0cb4c66;Не голосовал;1
400526e0-8200-4d1d-a9ee-3e0bd7d4bf22;Голос делегирован;-
